url,status,grade,headers_present,headers_missing,missing_list,sensitive_exposed,cookie_issues_count,cors_issues
https://www.hyundai.com/in/en,200,F,1,6,Content-Security-Policy; X-Content-Type-Options; Strict-Transport-Security; Referrer-Policy; Permissions-Policy; X-XSS-Protection,Server,0,⚠️  Access-Control-Allow-Origin: * (wildcard) - any origin can read responses
https://www.hyundai.com/in/en/find-a-car,200,F,1,6,Content-Security-Policy; X-Content-Type-Options; Strict-Transport-Security; Referrer-Policy; Permissions-Policy; X-XSS-Protection,Server,0,⚠️  Access-Control-Allow-Origin: * (wildcard) - any origin can read responses
https://www.hyundai.com/in/en/click-to-buy.html,200,F,1,6,Content-Security-Policy; X-Content-Type-Options; Strict-Transport-Security; Referrer-Policy; Permissions-Policy; X-XSS-Protection,Server,0,⚠️  Access-Control-Allow-Origin: * (wildcard) - any origin can read responses
https://www.hyundai.com/in/en/connect-to-service.html,200,F,1,6,Content-Security-Policy; X-Content-Type-Options; Strict-Transport-Security; Referrer-Policy; Permissions-Policy; X-XSS-Protection,Server,0,⚠️  Access-Control-Allow-Origin: * (wildcard) - any origin can read responses
https://www.hyundai.com/in/en/contact-us.html,200,F,1,6,Content-Security-Policy; X-Content-Type-Options; Strict-Transport-Security; Referrer-Policy; Permissions-Policy; X-XSS-Protection,Server,0,⚠️  Access-Control-Allow-Origin: * (wildcard) - any origin can read responses
https://www.hyundai.com/in/en/utility/contact-us,200,F,1,6,Content-Security-Policy; X-Content-Type-Options; Strict-Transport-Security; Referrer-Policy; Permissions-Policy; X-XSS-Protection,Server,0,⚠️  Access-Control-Allow-Origin: * (wildcard) - any origin can read responses
https://www.hyundai.com/in/en/find-a-car/creta/highlights.html,200,F,1,6,Content-Security-Policy; X-Content-Type-Options; Strict-Transport-Security; Referrer-Policy; Permissions-Policy; X-XSS-Protection,Server,0,⚠️  Access-Control-Allow-Origin: * (wildcard) - any origin can read responses
https://www.hyundai.com/in/en/find-a-car/venue/highlights.html,200,F,1,6,Content-Security-Policy; X-Content-Type-Options; Strict-Transport-Security; Referrer-Policy; Permissions-Policy; X-XSS-Protection,Server,0,⚠️  Access-Control-Allow-Origin: * (wildcard) - any origin can read responses
https://www.hyundai.com/in/en/find-a-car/i20/highlights.html,200,F,1,6,Content-Security-Policy; X-Content-Type-Options; Strict-Transport-Security; Referrer-Policy; Permissions-Policy; X-XSS-Protection,Server,0,⚠️  Access-Control-Allow-Origin: * (wildcard) - any origin can read responses
https://www.hyundai.com/in/en/find-a-car/verna/highlights.html,200,F,1,6,Content-Security-Policy; X-Content-Type-Options; Strict-Transport-Security; Referrer-Policy; Permissions-Policy; X-XSS-Protection,Server,0,⚠️  Access-Control-Allow-Origin: * (wildcard) - any origin can read responses
https://www.hyundai.com/in/en/find-a-car/tucson/highlights.html,200,F,1,6,Content-Security-Policy; X-Content-Type-Options; Strict-Transport-Security; Referrer-Policy; Permissions-Policy; X-XSS-Protection,Server,0,⚠️  Access-Control-Allow-Origin: * (wildcard) - any origin can read responses
https://www.hyundai.com/in/en/find-a-car/alcazar/highlights.html,200,F,1,6,Content-Security-Policy; X-Content-Type-Options; Strict-Transport-Security; Referrer-Policy; Permissions-Policy; X-XSS-Protection,Server,0,⚠️  Access-Control-Allow-Origin: * (wildcard) - any origin can read responses
https://www.hyundai.com/in/en/find-a-car/ioniq5/highlights.html,404,F,2,5,Content-Security-Policy; Strict-Transport-Security; Referrer-Policy; Permissions-Policy; X-XSS-Protection,Server,0,⚠️  Access-Control-Allow-Origin: * (wildcard) - any origin can read responses
https://www.hyundai.com/in/en/find-a-car/exter/highlights.html,200,F,1,6,Content-Security-Policy; X-Content-Type-Options; Strict-Transport-Security; Referrer-Policy; Permissions-Policy; X-XSS-Protection,Server,0,⚠️  Access-Control-Allow-Origin: * (wildcard) - any origin can read responses
https://www.hyundai.com/in/en/hyundai-story,200,F,1,6,Content-Security-Policy; X-Content-Type-Options; Strict-Transport-Security; Referrer-Policy; Permissions-Policy; X-XSS-Protection,Server,0,⚠️  Access-Control-Allow-Origin: * (wildcard) - any origin can read responses
https://www.hyundai.com/in/en/blog,200,F,1,6,Content-Security-Policy; X-Content-Type-Options; Strict-Transport-Security; Referrer-Policy; Permissions-Policy; X-XSS-Protection,Server,0,⚠️  Access-Control-Allow-Origin: * (wildcard) - any origin can read responses
https://www.hyundai.com/in/en/utility/find-a-dealer,404,F,2,5,Content-Security-Policy; Strict-Transport-Security; Referrer-Policy; Permissions-Policy; X-XSS-Protection,Server,0,⚠️  Access-Control-Allow-Origin: * (wildcard) - any origin can read responses
https://www.hyundai.com/in/en/utility/contact-us/enquiry/sales-enquiry,200,F,2,5,Content-Security-Policy; Strict-Transport-Security; Referrer-Policy; Permissions-Policy; X-XSS-Protection,Server,0,⚠️  Access-Control-Allow-Origin: * (wildcard) - any origin can read responses
https://www.hyundai.com/in/en/utility/contact-us/enquiry/service-enquiry,200,F,2,5,Content-Security-Policy; Strict-Transport-Security; Referrer-Policy; Permissions-Policy; X-XSS-Protection,Server,0,⚠️  Access-Control-Allow-Origin: * (wildcard) - any origin can read responses
